dimension,value,count
source_tool,Agentlinter,9
source_tool,Lizard,755
source_tool,Opengrep,504
source_tool,Prospector,9
source_tool,Pylint,2
source_tool,Trivy,46
source_tool,markdownlint,118
source_category,BestPractice,9
source_category,CodeStyle,110
source_category,Complexity,755
source_category,Comprehensibility,7
source_category,Documentation,7
source_category,ErrorProne,12
source_category,Security,542
source_category,UnusedCode,1
source_subcategory,<empty>,901
source_subcategory,CommandInjection,10
source_subcategory,Cryptography,13
source_subcategory,FileAccess,304
source_subcategory,InsecureModulesLibraries,49
source_subcategory,InsecureStorage,2
source_subcategory,SQLInjection,163
source_subcategory,Visibility,1
source_severity,Error,220
source_severity,High,303
source_severity,Info,126
source_severity,Warning,794
severity,S1,174
severity,S2,274
severity,S3,864
severity,S4,131
domain,benchmark,66
domain,ci,3
domain,codacy,235
domain,dependencies,46
domain,docs,118
domain,filesystem,147
domain,gc,139
domain,migration,106
domain,packed-storage,19
domain,recovery,14
domain,restore,116
domain,security,47
domain,snapshot,68
domain,storage,202
domain,tooling,28
domain,verify,89
release_target,backlog,583
release_target,v1.10.2,240
release_target,v1.10.3,19
release_target,v1.10.4,139
release_target,v1.10.5,130
release_target,v1.10.6,332
area,benchmark,38
area,ci,3
area,docker,2
area,docs,127
area,production,385
area,script,28
area,test,860
decision,fix,46
decision,investigate,1397
