dimension,value,count
family,EXT-BENCH-001,12
family,EXT-BENCH-002,5
family,EXT-BENCH-004,2
family,EXT-CI-001,2
family,EXT-CLI-001,15
family,EXT-CLI-003,7
family,EXT-CLI-004,6
family,EXT-CLI-005,16
family,EXT-CODE-001,390
family,EXT-REST-002,10
family,EXT-SCRIPT-002,3
family,EXT-VAL-001,31
family,EXT-VAL-002,3
family,EXT-VAL-003,3
family,EXT-VAL-004,40
family,EXT-VAL-005,3
severity,S1,15
severity,S2,143
severity,S3,388
severity,S4,2
domain,benchmark,32
domain,ci,2
domain,cli,28
domain,json,16
domain,restore,10
domain,snapshot,3
domain,tooling,393
domain,validation,64
release_target,backlog,390
release_target,v1.10.1,44
release_target,v1.10.2,67
release_target,v1.10.5,10
release_target,v1.10.6,37
requires_regression_test,false,2
requires_regression_test,true,546
requires_ci_gate,false,495
requires_ci_gate,true,53
data_loss_risk,medium,12
data_loss_risk,none,536
determinism_risk,high,16
determinism_risk,low,401
determinism_risk,medium,131
recovery_risk,medium,10
recovery_risk,none,538
