dimension,value,count
release_target,backlog,30
release_target,v1.10.1,5
release_target,v1.10.2,14
release_target,v1.10.3,3
release_target,v1.10.4,5
release_target,v1.10.5,10
release_target,v1.10.6,20
severity,S1,23
severity,S2,26
severity,S3,33
severity,S4,5
domain,benchmark,11
domain,ci,2
domain,cli,5
domain,codacy,5
domain,dependencies,1
domain,docs,1
domain,filesystem,6
domain,gc,6
domain,json,1
domain,migration,4
domain,packed-storage,4
domain,recovery,3
domain,restore,8
domain,security,3
domain,snapshot,7
domain,storage,7
domain,tooling,6
domain,validation,3
domain,verify,4
status,triaged,87
data_loss_risk,medium,17
data_loss_risk,none,70
security_risk,low,1
security_risk,medium,20
security_risk,none,66
determinism_risk,high,1
determinism_risk,low,14
determinism_risk,medium,28
determinism_risk,none,44
recovery_risk,medium,5
recovery_risk,none,82
required_ci_gates,candidate,17
required_ci_gates,none,58
required_ci_gates,required: CI or release-gate check candidate,12
